12826,16270
17473,20917
2887,6331
43569,47014
26642,30086
3176,6620
25889,29334
32688,36133
4418,7863
33442,36886
41028,44473
33779,37223
27383,30827
47392,50837
3646,7090
27292,30736
7290,10734
12239,15684
26844,30288
36946,40391
24776,28220
3198,6642
34017,37461
13902,17347
40994,44439
33072,36517
22618,26062
38813,42257
14578,18022
46369,49814
45042,48486
10494,13938
44904,48348
11865,15309
38819,42264
49862,53306
30516,33960
12067,15512
42283,45727
17195,20640
30589,34033
35119,38563
46292,49737
9438,12882
36032,39476
19251,22695
41117,44562
10651,14095
31012,34456
48154,51599
43457,46902
3204,6648
24502,27946
36517,39962
21051,24496
47031,50475
21025,24470
3454,6898
37009,40454
25596,29041
3603,7048
41458,44902
47652,51097
12091,15535
32262,35707
38857,42302
9821,13265
18548,21992
10332,13777
44975,48419
48347,51791
27759,31203
34799,38243
27541,30986
46630,50074
29242,32687
4679,8124
26821,30265
48154,51598
25594,29038
37166,40610
32213,35657
10414,13859
47200,50645
8738,12183
23587,27031
47220,50664
27987,31432
19879,23324
9088,12532
36811,40255
21504,24949
30900,34344
24929,28373
25543,28987
44443,47888
28420,31865
31903,35347
21446,24891
31012,34456
24281,27725
48719,52163
5428,8873
39028,42473
27238,30683
40942,44387
46958,50402
40201,43645
2509,5954
15610,19055
20636,24081
3332,6776
16635,20080
23827,27272
6968,10412
43671,47115
49734,53179
10936,14381
19117,22561
46201,49645
22528,25972
5782,9226
3643,7087
48497,51942
27367,30811
7809,11253
6342,9786
19889,23334
41288,44732
10112,13557
45419,48864
24058,27502
20599,24043
5050,8494
11772,15216
36974,40419
7378,10822
2614,6058
6130,9575
32545,35990
43957,47401
14958,18402
14419,17863
45793,49237
46474,49919
29857,33301
13780,17225
27311,30756
33293,36737
27316,30760
15424,18869
28876,32320
39088,42532
28714,32159
26980,30424
9917,13362
15377,18822
38944,42388
22122,25567
4322,7767
13072,16517
47421,50865
43785,47229
8136,11581
20693,24138
9213,12658
29027,32471
21406,24850
8538,11982
1848,5293
33964,37408
21501,24945
1976,5420
30925,34370
46187,49632
26691,30136
45283,48728
28494,31939
35434,38879
43594,47039
11487,14932
15875,19320
36982,40426
40889,44333
6876,10320
44203,47647
4864,8309
34166,37610
48047,51492
20370,23814
7149,10593
19536,22980
31032,34476
40846,44290
42310,45755
32776,36221
3551,6996
17544,20989
48209,51653
8221,11665
